"","district_reporting","unprotect_water_extreme_perc","unprotect_water_severe_perc","waste_disposal_severe_perc","water_no_access_perc","soap_access_perc","unprotect_water_extreme","unprotect_water_severe","waste_disposal_severe","water_no_access","soap_access","htr_wash_score","htr_wash_rank","htr_wash_high"
"83","sayed_abad",0.1,0.3,0.0666666666666667,0.133333333333333,0.566666666666667,0,2,0,0,2,4,1,0
"84","shah_joi",0.209302325581395,0.27906976744186,1,0,0.0930232558139535,3,2,2,0,0,7,2,0
"85","shah_wali_kot",0,0.357142857142857,0.660714285714286,0.428571428571429,0.0892857142857143,0,4,1,3,0,8,2,0
"86","shahid_e_hassas",0.105263157894737,0,1,0.157894736842105,0.526315789473684,0,0,2,0,2,4,1,0
"87","sheltan",0,0.555555555555556,0,0.333333333333333,0,0,4,0,3,0,7,2,0
"88","sher_zad",0.258064516129032,0.225806451612903,1,0,0,3,2,2,0,0,7,2,0
"89","shigal",0.037037037037037,0,0,0.0740740740740741,0.333333333333333,0,0,0,0,1,1,1,0
"90","shindand",0,0.941176470588235,1,0,0,0,4,2,0,0,6,2,0
"91","shirin_tagab",0.0434782608695652,0.478260869565217,1,0.0434782608695652,0,0,4,2,0,0,6,2,0
"92","sozmaqala",0.215686274509804,0.117647058823529,0.431372549019608,0.490196078431373,0,3,0,0,3,0,6,2,0
"93","surkh_rod",0,0.0487804878048781,0.926829268292683,0,0,0,0,2,0,0,2,1,0
"94","tirinkot",0,0.103448275862069,1,0.413793103448276,0.620689655172414,0,0,2,3,2,7,2,0
"95","urgun",0,0.03125,1,0.0625,0,0,0,2,0,0,2,1,0
"96","waghaz",0,0,0.380952380952381,0,0.428571428571429,0,0,0,0,1,1,1,0
"97","wal_e_muhammad_e_shahid",0,0.0555555555555556,1,0.0555555555555556,0.0555555555555556,0,0,2,0,0,2,1,0
"98","watapur",0.0416666666666667,0.208333333333333,1,0.125,0.0833333333333333,0,2,2,0,0,4,1,0
"99","zheray",0.217391304347826,0.0869565217391304,0.695652173913043,0.217391304347826,0.0869565217391304,3,0,1,0,0,4,1,0
"100","zurmat",0,0.0714285714285714,0.285714285714286,0.404761904761905,0.30952380952381,0,0,0,3,1,4,1,0
