"","district_reporting","total_settlements","school_not_attend_perc","no_edu_children_perc","children_removed_perc","no_edu_children","school_not_attend","children_removed","htr_eie_score","htr_eie_rank","htr_eie_rank_high"
"86","shahid_e_hassas",19,0.578947368421053,0.263157894736842,0.473684210526316,2,4,4,10,3,1
"87","sheltan",9,0.555555555555556,0.333333333333333,0.333333333333333,2,4,4,10,3,1
"88","sher_zad",31,0.612903225806452,0.32258064516129,0.612903225806452,2,4,8,14,4,1
"89","shigal",27,0.37037037037037,0.222222222222222,0.037037037037037,0,2,0,2,1,0
"90","shindand",17,0.352941176470588,0.294117647058824,0.882352941176471,2,2,12,16,4,1
"91","shirin_tagab",23,0.91304347826087,0.565217391304348,0.782608695652174,4,6,12,22,22,22
"92","sozmaqala",51,0.647058823529412,0.0588235294117647,0.392156862745098,0,4,4,8,3,1
"93","surkh_rod",41,0.146341463414634,0.0487804878048781,0.268292682926829,0,0,4,4,2,0
"94","tirinkot",29,0.96551724137931,0.724137931034483,0.379310344827586,4,6,4,14,4,1
"95","urgun",32,0.1875,0,0,0,0,0,0,1,0
"96","waghaz",21,0.857142857142857,0.428571428571429,0.0952380952380952,2,6,0,8,3,1
"97","wal_e_muhammad_e_shahid",18,0.888888888888889,0,0.5,0,6,8,14,4,1
"98","watapur",24,0.416666666666667,0.125,0.375,0,2,4,6,2,0
"99","zheray",23,0.739130434782609,0.695652173913043,0.217391304347826,4,4,0,8,3,1
"100","zurmat",42,0.952380952380952,0.0476190476190476,0.0714285714285714,0,6,0,6,2,0
